"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04380","hsa04380","Osteoclast differentiation","58/2774","128/8577",0.00137149647523917,0.00783380190094236,0.00489383220424324,"4982/3690/3554/54/2274/7042/1435/3553/8651/8061/2355/1436/4688/9021/4773/4791/3552/7124/7046/7048/5971/5293/2534/5533/4790/3725/10379/6300/3459/126014/1540/3726/4772/5600/8792/7132/9846/1535/8878/6773/207/5604/8517/5970/3460/4792/9020/5594/10326/1147/5532/5602/140885/10000/2353/5608/10859/11027",58
"hsa05214","hsa05214","Glioma","37/2774","75/8577",0.00158055242682028,0.00887743613064057,0.00554579798884308,"5154/1956/5156/5155/1026/7039/817/5293/4616/25759/1021/399694/6464/5159/207/5604/5578/1647/805/6655/3480/578/5594/4193/91860/57118/801/595/1869/10000/1950/53358/1870/5582/5579/57172/3479",37
"hsa04936","hsa04936","Alcoholic liver disease","63/2774","142/8577",0.00167465520897542,0.00925178369548714,0.00577965559611878,"7099/3929/10891/3576/2919/3592/721/720/3553/3569/2920/5465/929/1374/7124/2921/4790/5606/148022/4217/83439/64900/6300/1571/6932/2308/718/84818/5600/7132/8717/9641/23765/37/207/6934/836/3654/114609/8517/5970/51/23417/8737/51422/4792/9020/79966/23643/217/6319/355/501/1147/5602/595/727/10000/51176/126129/32/719/5608",63
"hsa05135","hsa05135","Yersinia infection","61/2774","137/8577",0.00177073085182418,0.00939876810061718,0.0058714778076634,"7099/2533/3576/3606/3676/3553/64283/6347/2335/3569/5880/10451/4773/7535/7456/10095/7124/9564/3678/5293/4790/3725/5606/148022/6300/3688/4772/5600/27040/391/6714/8935/6093/71/60/10109/207/3984/5829/5585/5604/10096/23396/3654/6196/63916/8517/998/6197/5970/7410/382/4792/5594/1147/5602/10000/4775/2353/5608/7409",61
"hsa05323","hsa05323","Rheumatoid arthritis","44/2774","93/8577",0.00177315314657977,0.00939876810061718,0.0058714778076634,"1437/6352/7099/7010/3576/2919/3383/3589/3606/54/7042/1435/3553/6372/2321/6347/1514/3569/2920/3552/7124/10312/3600/2921/7097/3725/6364/4312/4314/6387/245972/8792/284/245973/9114/51382/7422/155066/2353/3113/3689/10673/3115/3109",44
"hsa04814","hsa04814","Motor proteins","82/2774","193/8577",0.00178492925352967,0.00939876810061718,0.0058714778076634,"4647/70/7168/4643/64005/1767/23046/4648/3800/4621/55083/4646/10398/4430/55930/4627/343521/4644/53904/7171/55605/113457/10381/7169/59/399687/4641/10627/221458/51807/56171/79819/4629/57576/58/4637/71/4650/60/147700/63971/832/10749/830/22920/84376/55860/84617/51175/7280/1062/3835/83544/64147/3833/79659/4628/285643/55582/10112/24137/9585/4651/81930/23026/347240/51174/3832/146909/10126/26153/9928/11004/56992/1770/93408/92558/146439/146754/7137/7138/201625",82
"hsa04610","hsa04610","Complement and coagulation cascades","41/2774","86/8577",0.00209186134848387,0.0108454965298318,0.00677525942828785,"5265/9002/4153/5054/2/5328/5327/3426/1604/721/720/623/7450/966/5270/5329/3053/629/716/2152/7448/2151/624/735/7035/2149/5055/5627/715/718/710/1191/727/1675/3684/3689/1361/719/729/730/732",41
"hsa05212","hsa05212","Pancreatic cancer","37/2774","76/8577",0.00213366824082664,0.0108946393508875,0.00680595930088241,"1956/7042/5880/5337/1026/4088/7039/7046/7048/5293/4616/4790/5338/1021/6774/598/207/5899/5604/1647/2064/8517/998/5970/578/572/5594/9459/1147/675/7422/5602/595/1869/10000/1950/1870",37
"hsa04657","hsa04657","IL-17 signaling pathway","44/2774","94/8577",0.00230540643466779,0.0115700340713662,0.00722788322434248,"1437/727897/3576/2919/3553/6372/6347/6354/8061/3569/2920/7128/10758/7124/4322/2921/53342/5743/4790/3725/6364/4312/4314/6300/132014/84818/5600/7184/7188/8717/9641/23765/5598/836/8517/5970/4792/5594/1147/5602/2353/5596/1051/225689",44
"hsa04370","hsa04370","VEGF signaling pathway","30/2774","59/8577",0.00235869719876811,0.0115700340713662,0.00722788322434248,"8877/3791/5880/8605/4773/5293/5743/5533/25759/6300/3315/5600/6714/9261/207/5829/5604/5578/998/4846/572/5594/56848/7867/5532/7422/10000/5321/5582/5579",30
"hsa05235","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","42/2774","89/8577",0.00236893872677825,0.0115700340713662,0.00722788322434248,"7099/1956/29126/116071/4773/7535/7097/5293/5533/5133/4790/3725/353376/5606/148022/6300/3459/4772/5600/27040/4215/6774/207/3091/5604/114609/4794/8517/5970/55509/3460/4792/5594/1147/5532/10000/1950/4775/2353/238/919/5608",42
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","38/2774","79/8577",0.00245679454199444,0.0118277108664589,0.0073888557653968,"5154/3082/558/1956/2621/5156/5155/4233/3791/3569/3570/9542/7039/5293/25759/3084/6714/399694/6464/5159/56034/6774/598/207/5604/5578/2064/6655/3480/572/5594/7422/10000/1950/53358/5582/5579/3479",38
"hsa05131","hsa05131","Shigellosis","101/2774","247/8577",0.00255757220025015,0.0121394624152718,0.0075836091927358,"1437/6352/7099/27128/3576/960/1956/55062/3554/3606/3553/5580/929/10095/87/7124/10398/9564/80201/3678/5293/10318/9265/824/4790/3725/5581/831/3611/823/5333/8767/6300/81/83660/7414/340061/2308/3688/718/2017/10627/5600/10392/55752/7188/7132/6714/8915/8357/6093/3709/8717/71/113026/60/7094/3098/115004/10109/8878/598/207/81631/837/23176/5332/5829/664/84557/10096/10616/10801/4735/643246/63916/8517/826/998/5970/5331/10670/8737/23236/382/5216/4792/5594/3099/55964/4193/5217/1147/5602/10000/23048/4303/8936/93408/100132074/3101",101
"hsa05223","hsa05223","Non-small cell lung cancer","35/2774","72/8577",0.00286854590974695,0.0134263884942323,0.00838756113961098,"3082/1956/5915/4233/3800/6776/1026/7039/5293/4616/1021/6777/11186/6774/207/5604/5578/1647/2064/6655/578/572/5594/6789/595/1869/10000/1950/83593/238/1870/5582/5979/5579/6258",35
"hsa04071","hsa04071","Sphingolipid signaling pathway","54/2774","121/8577",0.00296674736033077,0.0136958063072804,0.00855586837874772,"8877/134/5880/1901/5337/5523/7124/624/166929/5293/2534/4790/5581/4217/2770/6300/5338/5600/1903/7132/9846/2771/5526/171546/259230/6093/8717/9517/207/1509/91012/5332/8879/5604/5578/2768/5516/8560/5970/5331/5525/23236/4846/5594/56848/5520/5602/79603/10000/10715/6609/5582/53637/5579",54
"hsa04974","hsa04974","Protein digestion and absorption","47/2774","103/8577",0.00315559133261659,0.0143323553135706,0.00895352510608817,"486/169044/1504/1301/1295/1292/4311/1291/3783/1277/1293/136227/477/1281/50509/1308/1289/1278/1296/1306/1294/80781/1290/1303/1284/1310/1282/1305/1280/1358/1299/6505/2006/481/5547/1307/85301/483/81578/9056/6543/482/4225/117247/10008/1361/478",47
"hsa04072","hsa04072","Phospholipase D signaling pathway","64/2774","148/8577",0.00329175608452244,0.0143323553135706,0.00895352510608817,"185/114/27128/3576/5154/1956/5156/8877/5155/183/22808/8605/5337/4254/5737/22800/8613/2914/5293/2534/2149/9265/26052/112/25759/1606/8611/196883/1759/5338/10411/108/9846/115/399694/6464/5159/56034/207/5332/5899/1609/5604/23396/8525/5578/2768/6237/6655/5331/23236/382/113/5594/56848/10000/1950/53358/554/5321/5294/2846/139189/2912",64
"hsa01522","hsa01522","Endocrine resistance","45/2774","98/8577",0.00329400227228263,0.0143323553135706,0.00895352510608817,"114/1956/1839/4313/1026/5293/2852/3725/112/25759/196883/28514/6300/182/5600/6714/108/115/399694/6464/207/4853/4854/5604/2064/6655/3480/113/572/5594/6667/4193/5469/5602/1027/595/1031/1869/10000/53358/2353/3714/638/1870/3479",45
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","45/2774","98/8577",0.00329400227228263,0.0143323553135706,0.00895352510608817,"114/4803/3554/2150/623/5732/3553/3269/5580/8605/624/817/5293/112/5581/5606/196883/6300/5583/5600/6714/108/115/3709/5332/5578/805/5331/23236/113/5501/91860/801/5602/1573/5321/8398/40/4914/3556/5582/5579/5608/3479/79054",45
"hsa03030","hsa03030","DNA replication","20/2774","36/8577",0.00331728105180567,0.0143323553135706,0.00895352510608817,"57804/4174/5424/5982/5983/4173/4172/6118/4176/5984/10714/4171/5985/10535/79621/5557/1763/3978/5111/5422",20
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","27/2774","53/8577",0.00369785133334359,0.0157743784726176,0.0098543673107091,"486/477/624/5745/26052/112/7421/493/1759/490/481/8218/115/5332/1212/1173/5578/160/5331/483/23236/9365/6543/482/5582/478/5579",27
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","118/2774","297/8577",0.00379671648909931,0.0159936682103308,0.00999135918184028,"1437/6352/4283/9966/4982/1438/55801/8743/5197/3557/8995/3576/2919/3976/4803/3589/9235/3554/970/3606/8718/3592/5618/7292/23529/3601/7042/10148/1435/3575/7133/3553/9547/6372/146433/6347/6354/3569/1436/3570/2920/3597/55504/3625/3604/653/3624/3566/5617/3552/7124/7046/3600/7048/50615/6376/2921/53342/51330/11009/4055/9180/3574/2690/3598/656/94/6364/8764/2826/151449/8784/6387/27242/643/3459/768211/132014/51554/8797/8793/84818/3572/8792/9518/7132/3953/8744/23765/658/285613/90/84957/3588/3460/58191/657/1270/355/92/3595/1271/115650/392255/1896/8742/1235/2657/93/163702/2057/3556/1236/10673/2662/4804/57007/7852",118
