"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04144","hsa04144","Endocytosis","98/2774","250/8577",0.0120329077254301,0.0378980364810275,0.0236751750623318,"27128/1956/30845/5156/440073/3310/30846/2348/23550/3106/3800/5337/7456/10095/4088/10938/7046/11031/9829/1601/7048/64750/9265/3107/26056/26052/3303/3304/30844/51100/1759/5371/5338/26286/3305/3482/8218/6714/3135/3134/30011/378/23096/408/3133/55738/23325/868/92421/3105/3949/10109/55616/274/273/26119/1212/832/1173/138429/10096/23396/11021/830/56288/998/9922/160/5868/57154/4734/9146/254122/3480/382/8729/137492/10617/89853/4193/858/5662/51534/23111/157/409/155382/156/50855/857/80223/2264/2869/84249/84612/6457/2350/7852",98
"hsa04068","hsa04068","FoxO signaling pathway","55/2774","131/8577",0.0123444437062597,0.0385192363797176,0.0240632430921241,"2290/8743/1956/10769/7042/3575/3569/1901/1026/4088/7046/7048/5293/4616/9454/5896/6300/2308/5600/1263/10365/9455/6774/207/664/5604/114907/1647/6655/901/23678/3480/51422/1454/5594/5934/10733/4193/9456/1147/6789/891/9133/5602/1027/595/85417/10000/1950/5347/6502/8660/4303/100132074/3479",55
"hsa04960","hsa04960","Aldosterone-regulated sodium reabsorption","19/2774","37/8577",0.0125349537361898,0.038754856964183,0.0242104369602893,"486/6337/477/4306/5293/2810/481/9351/5578/483/5594/3291/482/5582/478/5579/3479/6338/6340",19
"hsa00514","hsa00514","Other types of O-glycan biosynthesis","23/2774","47/8577",0.0129686012095625,0.0395016360595964,0.024676955214491,"4242/11227/11226/57452/2589/8985/285203/50614/728819/2683/23275/79623/2590/79709/55568/5986/2591/145173/10585/29071/727936/6480/442117",23
"hsa04917","hsa04917","Prolactin signaling pathway","32/2774","70/8577",0.0130109246368404,0.0395016360595964,0.024676955214491,"5618/8651/7054/9021/6776/1081/5617/8835/5293/3972/3659/4790/25759/6300/5600/8792/6714/399694/6777/6464/6774/207/5604/5970/6655/9306/5594/5602/595/10000/53358/2353",32
"hsa04915","hsa04915","Estrogen signaling pathway","57/2774","137/8577",0.0135685613053302,0.0408268317847883,0.0255048144837034,"3866/3883/7031/8689/114/3885/1956/90993/3884/3310/1839/4313/3857/3861/5580/7039/5293/2852/64764/3303/3725/112/25759/3304/196883/2770/3305/3875/7184/6714/108/10488/2771/115/399694/3709/6464/207/1509/5332/5604/805/6655/5331/23236/4846/113/5594/6667/91860/801/10000/53358/2353/3872/3859/162605",57
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","79/2774","198/8577",0.0141222246413269,0.0415889801113692,0.02598093400679,"7099/8743/27128/3576/5010/3554/3606/137075/1364/4643/3553/64005/3569/7456/10095/55971/7124/9871/4646/4430/55930/2534/2149/4627/9265/4790/3725/4644/8440/113457/6300/10381/3688/8797/4641/2017/5600/51807/7132/6714/4629/6093/8717/71/60/9069/10109/5861/10802/837/7082/10096/836/3654/114609/2768/8517/998/5970/5058/8737/9368/84617/382/578/7280/4792/5594/840/355/4628/1147/26999/5602/4651/2353/8936/2846/3071",79
"hsa04978","hsa04978","Mineral absorption","28/2774","60/8577",0.0141451971263578,0.0415889801113692,0.02598093400679,"7018/486/477/79901/4502/3162/4496/4489/4493/4501/4490/4495/4499/7421/493/490/481/475/540/65010/483/538/6543/482/26872/261729/478/10568",28
"hsa03430","hsa03430","Mismatch repair","13/2774","23/8577",0.0141920852012091,0.0415889801113692,0.02598093400679,"57804/4436/5424/5982/2956/5983/6118/5984/10714/5985/3978/5111/9156",13
"hsa04350","hsa04350","TGF-beta signaling pathway","46/2774","108/8577",0.015711014460301,0.0452530929326619,0.0282699315524985,"7018/7057/10468/7044/2615/8646/7042/2200/79875/26585/2331/10637/3625/653/3624/4088/7124/7046/7048/4681/100532736/64750/285704/4052/656/151449/375387/4092/7036/6093/658/9241/90/5516/3399/57154/5594/6667/657/92/4093/60436/392255/4756/3398/93",46
"hsa04659","hsa04659","Th17 cell differentiation","46/2774","108/8577",0.015711014460301,0.0452530929326619,0.0282699315524985,"861/3554/10148/3553/3569/3570/6776/4773/7535/3566/4088/7046/7048/50615/5533/4790/3725/196/6300/3459/3572/4772/5600/27040/6095/6777/6774/3091/4794/8517/5970/3460/4792/5594/1147/5532/5602/4775/2625/2353/3113/3556/3115/3109/919/6258",46
"hsa00532","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","12/2774","21/8577",0.0164238278271648,0.04690533879453,0.0293021013865563,"337876/50515/79586/10090/64132/64131/9469/54480/56548/113189/55454/92126",12
"hsa05166","hsa05166","Human T-cell leukemia virus 1 infection","87/2774","222/8577",0.017348997572342,0.0491311948057079,0.0306926095928208,"1437/114/3383/90993/3554/2113/3601/7042/8061/3569/3106/6776/4773/4791/1026/4088/7124/7046/3600/7048/4487/4488/7538/5971/8829/5293/4055/3107/5533/4790/64764/3725/112/196883/83660/4772/7132/108/3135/10488/115/3134/6777/4215/3133/7094/3105/706/598/207/811/5604/8517/5970/6513/113/4792/9020/5594/25847/51434/1147/5532/9133/9232/5602/595/1031/1869/10000/9700/4085/4775/11200/2114/115650/890/2353/3113/701/1958/1870/3689/1959/7015/3115/3109",87
"hsa04621","hsa04621","NOD-like receptor signaling pathway","74/2774","186/8577",0.0183967270178437,0.0516641417084443,0.0322749596804275,"6352/7099/100506742/55894/3576/2919/3606/4939/330/3553/6347/118429/3569/2920/2635/5580/7128/329/5027/7124/7226/2634/79671/2633/2921/4790/3725/140609/10379/148022/8767/1508/6300/340061/5600/10392/7188/22861/3709/9641/55914/79792/1535/3665/7295/6773/598/10135/81631/837/5332/5585/84557/114769/10616/90550/10010/643246/8517/6041/5970/4938/5331/24145/8737/23236/4792/5594/22900/84674/1147/63940/5602/10628",74
"hsa03320","hsa03320","PPAR signaling pathway","33/2774","75/8577",0.0223309408615798,0.0616846481176426,0.0385348418664018,"2167/345/364/4973/51703/335/123/51129/5465/10873/1374/2170/376497/4312/3611/1593/2180/4023/10580/2171/5467/51/23205/79966/6319/10998/9415/126129/8309/729359/2173/440503/6258",33
"hsa04918","hsa04918","Thyroid hormone synthesis","33/2774","75/8577",0.0223309408615798,0.0616846481176426,0.0385348418664018,"7276/486/2878/114/90993/477/1081/64764/112/196883/3309/481/7184/108/10488/115/3709/9601/5332/7849/5578/5331/483/23236/113/432/482/50506/5582/53905/478/5579/7038",33
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","58/2774","143/8577",0.0226814197634058,0.0621434021159981,0.0388214287777593,"7476/7477/9421/81029/3976/7044/7483/7475/10637/3231/3625/3624/4088/9314/5293/7855/10297/6300/6932/3572/5600/84333/7473/8323/2260/80326/6774/207/658/90/5604/1855/2535/8326/3399/8324/3480/5594/657/3720/92/7994/4093/10000/7474/2264/8313/3398/8321/4211/3670/93/5462/7547/6657/1749/3479/2103",58
"hsa04330","hsa04330","Notch signaling pathway","28/2774","62/8577",0.0232227483142217,0.0631134369507477,0.0394274164927363,"4242/388585/6310/84441/23462/26508/28514/23220/151636/182/7088/7091/4853/4854/23385/5986/1855/83464/8650/5663/9253/9612/196403/3280/1840/3714/7089/441478",28
"hsa04392","hsa04392","Hippo signaling pathway - multiple species","15/2774","29/8577",0.0235090679745377,0.0633804472593537,0.0395942197465899,"83937/122786/7005/25937/4771/26524/11186/23286/126374/79633/5058/1454/8463/9770/54798",15
"hsa00051","hsa00051","Fructose and mannose metabolism","17/2774","34/8577",0.0241357874413444,0.0645536537121671,0.0403271302278102,"8789/231/80201/29926/5209/3098/5372/5211/5210/29925/3099/5213/230/3795/6652/57016/3101",17
"hsa00790","hsa00790","Folate biosynthesis","14/2774","27/8577",0.0275921460751419,0.0732169545458489,0.045739156361611,"55034/7054/231/4337/5860/5092/2643/1719/10243/200895/8644/249/121278/57016",14
"hsa05231","hsa05231","Choline metabolism in cancer","41/2774","98/8577",0.0297159558231533,0.0782365399406458,0.0488749273407127,"5154/1956/5156/5155/204962/5880/126969/6583/8605/5337/8613/5293/3725/1606/8611/5338/5130/5159/56034/207/3091/56261/1609/5604/23396/8525/5578/56994/57153/6655/5594/6667/5602/10000/1950/2353/8936/5321/5582/139189/5579",41
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action","49/2774","120/8577",0.0300900698015744,0.0786073916521749,0.0491066010633609,"3486/114/90993/112609/8651/9021/6776/9564/8835/5293/2690/64764/112/25759/5606/196883/2770/6300/3726/5600/108/10488/2771/115/399694/6777/3709/775/6464/6774/207/5332/5604/5578/6655/5331/23236/113/5594/5602/10000/53358/8660/2353/5582/5579/5608/3479/5449",49
"hsa01523","hsa01523","Antifolate resistance","15/2774","30/8577",0.0332516319530825,0.08619846129376,0.0538487966851539,"8714/3553/2348/3569/7124/4790/1244/8517/5970/7298/1719/1147/6470/200895/2350",15
"hsa04640","hsa04640","Hematopoietic cell lineage","41/2774","99/8577",0.0352622995469724,0.0907129385292344,0.0566690229762514,"1437/947/1438/960/3675/933/3589/3690/290/4311/3554/928/1604/1435/3575/3676/3553/3655/966/3569/1436/3570/100133941/4254/929/3672/3566/3552/7124/3678/3574/3673/2812/3113/3674/3684/2057/912/3115/3109/930",41
"hsa04979","hsa04979","Cholesterol metabolism","23/2774","51/8577",0.0381362214701105,0.097362929056267,0.0608233197290439,"345/57552/335/51129/19/9388/348/4035/3988/10577/114879/1593/4864/3931/4023/3949/706/26119/6646/55908/6770/350/64240",23
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","81/2774","212/8577",0.0393295142720298,0.0992690193459275,0.0620140679968312,"154/2938/2250/1143/23746/114/1956/90993/6776/1543/5465/688/1545/9314/5293/4790/64764/3725/112/7421/196/196883/28514/2770/182/7184/6714/108/10488/2771/115/4257/6777/775/164091/408/9641/6774/207/85315/4853/5604/5578/6196/4258/6197/5970/6655/9446/113/572/5594/993/3838/2947/773/7422/54852/595/409/332/1869/3841/10000/1950/2941/2353/2944/2949/1139/79852/2946/153/1137/5582/1141/8817/2948/5579/155/6258",81
"hsa04911","hsa04911","Insulin secretion","36/2774","86/8577",0.039471954279983,0.0992690193459275,0.0620140679968312,"486/114/90993/3783/477/817/64764/6804/112/196883/481/108/27345/10488/115/3782/3778/775/5332/5578/27094/5331/6513/483/23236/113/886/5864/482/5582/6262/478/5579/3780/885/2695",36
"hsa00520","hsa00520","Amino sugar and nucleotide sugar metabolism","22/2774","49/8577",0.0442286513625156,0.110407818586428,0.0689725557310185,"1118/51700/7358/9945/80201/54187/55577/29926/3074/1727/91373/3098/5372/3073/5236/80146/7360/29925/3099/80896/606495/3101",22
"hsa05161","hsa05161","Hepatitis B","63/2774","162/8577",0.0448112800519119,0.111039716010987,0.0693673065819069,"7099/100506742/3576/90993/7042/3569/6776/4773/3339/1026/4088/7124/7046/7048/7097/5293/4790/64764/3725/353376/5606/148022/6300/23586/4772/5600/6714/10488/64135/6777/7534/9641/3665/6774/6773/207/5604/836/3654/114609/5578/8517/5970/6655/4792/572/5594/1960/355/1147/5602/332/1869/10000/4775/5111/890/2353/1870/5582/1959/5579/5608",63
"hsa00533","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","8/2774","14/8577",0.0484774948910179,0.119247560425351,0.0744948058256134,"93010/9435/6482/2683/10678/8702/2530/8534",8
"hsa04728","hsa04728","Dopaminergic synapse","52/2774","132/8577",0.0509417351665203,0.124045417528878,0.0774920615516962,"94235/90993/2792/7054/3800/5523/817/5533/64764/54331/55970/406/2770/6300/2791/5600/10488/2771/5526/3709/775/408/207/5332/1312/5578/5516/2790/805/5331/5525/23236/2787/10681/5520/5501/91860/801/773/5532/2785/5602/409/10000/59345/2353/2793/5582/6323/84152/5579/2903",52
"hsa05217","hsa05217","Basal cell carcinoma","27/2774","63/8577",0.0511641336395074,0.124045417528878,0.0774920615516962,"7476/7477/81029/7483/7475/1026/4616/7855/83439/10297/6932/7473/8323/80326/6934/1855/2535/8326/1647/8324/578/51176/7474/8313/5727/8321/2735",27
"hsa04660","hsa04660","T cell receptor signaling pathway","48/2774","121/8577",0.0524724610645797,0.12630870984831,0.0789059564880897,"1437/10451/4773/7535/5523/7124/5293/2534/5533/5133/4790/3725/8440/6300/4772/5600/27040/5526/8915/1326/868/207/5604/4794/8517/5516/998/5970/6655/7410/5525/5058/4792/9020/5594/56924/106821730/5520/1147/5532/5602/10000/4775/2353/84433/5788/919/7409",48
"hsa00531","hsa00531","Glycosaminoglycan degradation","10/2774","19/8577",0.0532632178279462,0.127302868141971,0.0795270143007783,"23553/3074/6448/4669/3425/411/3073/2720/2799/2588",10
"hsa05140","hsa05140","Leishmaniasis","32/2774","77/8577",0.0552880818895627,0.131211856315371,0.0819689872343405,"7099/3592/7042/3676/3553/4688/3552/7124/7097/5743/4790/3725/6300/3459/3688/718/5600/1535/3654/5970/3460/4792/5594/65108/1917/2353/3113/3684/3689/3115/3109/5579",32
"hsa04920","hsa04920","Adipocytokine signaling pathway","29/2774","69/8577",0.0571730441503394,0.134736474675975,0.0841708415904887,"10891/51703/7133/9021/5465/1374/7124/4790/2180/7132/3953/8717/6774/207/4794/8517/5970/6513/23205/51422/4792/1147/5602/10000/126129/8660/32/4852/6258",29
"hsa04530","hsa04530","Tight junction","65/2774","170/8577",0.0589016576936889,0.137846240574814,0.0861135346398961,"861/5010/54566/137075/1364/58538/11149/10095/87/11346/9414/10398/4627/3725/58494/5581/7408/4217/113457/79778/81/3688/4771/2017/10627/51807/6714/4629/6093/4637/71/60/9069/10109/154810/7082/10096/56288/51762/2064/5516/998/51421/4734/9368/9693/4301/51422/9223/5520/5872/1741/154796/4628/5602/595/50855/57530/5111/91862/64398/7074/84612/912/1740",65
"hsa05218","hsa05218","Melanoma","30/2774","72/8577",0.060046090921242,0.139555397520404,0.0871812572359231,"2250/5154/3082/1956/5156/5155/4233/2246/1026/5293/4616/1021/5159/2260/56034/207/5604/1647/3480/578/572/5594/4193/595/1869/10000/1950/1870/8817/3479",30
"hsa00120","hsa00120","Primary bile acid biosynthesis","9/2774","17/8577",0.0631457909046552,0.145067274888395,0.0906245665396816,"51302/80270/9023/1593/10858/10998/1109/570/8309",9
"hsa01040","hsa01040","Biosynthesis of unsaturated fatty acids","13/2774","27/8577",0.0632786035863327,0.145067274888395,0.0906245665396816,"9200/79993/122970/64834/51/201562/60481/79966/6319/6785/9415/3992/570",13
"hsa00920","hsa00920","Sulfur metabolism","6/2774","10/8577",0.0667472970048012,0.15183392916575,0.0948517439736063,"23474/9060/6821/58472/7263/8991",6
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","37/2774","92/8577",0.0671313217973199,0.15183392916575,0.0948517439736063,"3592/6776/4773/7535/3566/84441/5533/4790/3725/28514/6300/3459/182/4772/5600/27040/6777/4853/4854/4794/8517/5970/3460/4792/5594/1147/5532/5602/3595/4775/2625/2353/3113/3714/3115/3109/919",37
"hsa04913","hsa04913","Ovarian steroidogenesis","22/2774","51/8577",0.0687201354599172,0.154391237666614,0.0964493129261995,"114/8605/1543/1081/1545/5743/3972/112/196883/122970/108/115/3294/3949/3480/113/51478/1573/8644/5321/6770/3479",22
"hsa05226","hsa05226","Gastric cancer","57/2774","149/8577",0.0724201366297083,0.161626397643786,0.10096916922929,"7476/7477/2250/81029/3082/1956/5915/4233/7483/7042/2246/7475/1026/4088/7046/7048/5293/4616/7855/25759/83439/10297/6932/399694/6464/1495/7473/8323/80326/207/6934/5604/1855/2535/8326/1647/2064/6655/8324/578/5594/23401/4040/1027/595/1869/10000/1950/51176/7474/53358/8313/8321/1870/8817/7015/6258",57
"hsa04927","hsa04927","Cortisol synthesis and secretion","27/2774","65/8577",0.0744051743104526,0.164964103569885,0.103054258047718,"185/114/90993/183/57552/3777/64764/112/196883/1589/108/10488/115/3709/775/3949/5332/5331/23236/113/6667/8912/5087/6770/190/8913/8911",27
"hsa04919","hsa04919","Thyroid hormone signaling pathway","47/2774","121/8577",0.0761762546436248,0.167786913822886,0.104817687848125,"486/1733/3690/477/1827/10231/3685/5293/5333/2308/481/6714/23389/71/113026/60/207/3091/6567/5332/4853/5211/1734/4854/5604/5578/5331/6513/483/23236/572/5594/9862/4193/7067/5469/595/10000/116931/5213/53919/482/117247/5582/478/5579/6258",47
"hsa01212","hsa01212","Fatty acid metabolism","24/2774","57/8577",0.0771242324334173,0.168771859286114,0.1054329903396,"51703/1374/9200/79993/2180/35/64834/37/51/201562/23205/10449/60481/79966/27349/6319/39/36/6785/3033/9415/126129/3992/7923",24
"hsa05416","hsa05416","Viral myocarditis","25/2774","60/8577",0.0810495245400032,0.176217353354717,0.11008424385739,"3383/1604/284217/5880/3106/1756/2534/3107/3135/3134/27/71/3133/6443/60/3105/836/3908/595/857/3113/3689/1525/3115/3109",25
"hsa03410","hsa03410","Base excision repair","19/2774","44/8577",0.0859476463482954,0.185668953970356,0.115988726515918,"57804/10039/4350/6996/5424/11232/5982/55247/5983/7515/142/4913/5984/10714/5985/3978/5111/3146/10038",19
"hsa00230","hsa00230","Purine metabolism","49/2774","128/8577",0.0894377258831127,0.191977793774579,0.119929903966628,"114/4907/26289/5137/2766/2984/2977/272/122622/144811/5138/9060/5143/112/2983/196883/205/203/108/115/2982/5236/132/8654/955/2987/100/159/113/4833/5198/5167/51292/11164/58497/4882/6241/5140/4881/5158/5153/956/5141/51816/5136/5169/270/5145/122481",49
"hsa00510","hsa00510","N-Glycan biosynthesis","22/2774","53/8577",0.101162424870257,0.214525929313982,0.134015885874735,"4121/146664/4249/2683/57134/11253/4247/11282/2530/7841/85365/3703/6184/84061/6185/199857/144245/57171/29929/79644/6480/25834",22
"hsa04612","hsa04612","Antigen processing and presentation","31/2774","78/8577",0.101215497806894,0.214525929313982,0.134015885874735,"3310/1514/10437/3106/1520/7124/3107/6890/3303/3304/1508/3305/3309/3135/3134/6891/3306/2923/3133/3105/5641/811/6892/5721/4802/3113/5994/3115/3109/3823/3821",31
"hsa04650","hsa04650","Natural killer cell mediated cytotoxicity","50/2774","132/8577",0.101902829778243,0.214632835220424,0.134082670760846,"1437/8743/3383/79465/5880/3106/10451/353091/4773/7535/7124/80328/154064/5293/2534/3107/5533/25759/100507436/3459/8797/4772/27040/3135/399694/6464/3133/3105/5604/836/5578/4277/6452/6655/7410/3460/5058/80329/5594/355/5532/53358/4068/3689/5582/5579/919/7409/3823/3821",50
"hsa05230","hsa05230","Central carbon metabolism in cancer","28/2774","70/8577",0.107449571161317,0.221101246316129,0.138123533541233,"1956/5156/4233/9123/80201/5293/5159/2260/2744/3098/207/3091/5211/5604/5163/2539/2064/6513/5594/3099/3945/8140/3417/10000/5213/4914/5979/3101",28
"hsa05169","hsa05169","Epstein-Barr virus infection","74/2774","202/8577",0.107633249535498,0.221101246316129,0.138123533541233,"960/3383/4939/3569/3106/7128/4791/1026/7124/5971/7097/5293/3107/6890/4616/4790/3725/7431/10379/5606/6300/965/23586/1021/5600/4067/7188/3135/3134/6891/8717/2923/3133/9641/3105/3665/6774/6773/207/811/6892/836/3654/1647/4794/8517/5970/4938/4734/8737/9612/578/4792/9020/4193/355/8819/1147/3280/5602/1027/595/1869/10000/6502/890/3113/1870/956/3115/3109/919/5608/930",74
"hsa00760","hsa00760","Nicotinate and nicotinamide metabolism","16/2774","37/8577",0.108254319412942,0.221101246316129,0.138123533541233,"4837/4907/23057/683/54981/316/64802/10135/55191/51547/93100/22933/5167/23475/349565/5169",16
"hsa01250","hsa01250","Biosynthesis of nucleotide sugars","16/2774","37/8577",0.108254319412942,0.221101246316129,0.138123533541233,"7358/9945/80201/54187/55577/29926/91373/3098/5372/23483/5236/80146/7360/29925/3099/3101",16
"hsa05216","hsa05216","Thyroid cancer","16/2774","37/8577",0.108254319412942,0.221101246316129,0.138123533541233,"1026/4616/83439/6932/8031/7849/6934/5604/1647/578/5594/595/51176/4914/5979/6258",16
"hsa04620","hsa04620","Toll-like receptor signaling pathway","40/2774","104/8577",0.109105654006268,0.221497622892242,0.138371152829763,"6352/7099/3929/4283/3576/6696/3592/3553/3569/3663/929/7124/7097/5293/4790/3725/353376/5606/148022/6300/5600/1326/9641/3665/54472/207/5604/3654/114609/8517/5970/8737/4792/5594/23643/1147/5602/10000/2353/5608",40
"hsa04730","hsa04730","Long-term depression","24/2774","60/8577",0.129145664865856,0.260611311735291,0.162805754637071,"8605/2977/5592/2983/2770/4067/2771/3709/2982/5332/5604/5578/2768/5516/5331/3480/23236/5594/773/5321/5582/5579/4842/3479",24
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","38/2774","100/8577",0.134198191150932,0.269195181058716,0.168168159337008,"6352/4283/8743/5197/3576/2919/3606/1435/7133/9547/6372/146433/6347/6354/3569/1436/3570/2920/7124/6376/2921/11009/4055/6364/8764/2826/6387/643/51554/8797/8793/3572/7132/3588/1235/1236/57007/7852",38
"hsa05213","hsa05213","Endometrial cancer","23/2774","58/8577",0.146254140177744,0.291642871242011,0.182191392311111,"1956/1026/5293/4616/3611/83439/10297/6932/1495/207/6934/5604/1647/2064/6655/578/572/5594/595/10000/1950/51176/8313",23
"hsa00500","hsa00500","Starch and sucrose metabolism","15/2774","36/8577",0.153882043075888,0.303264611208037,0.189451576578502,"2632/2992/80201/5836/11181/283209/5834/3098/5236/7360/3099/5167/8908/5169/3101",15
"hsa00512","hsa00512","Mucin type O-glycan biosynthesis","15/2774","36/8577",0.153882043075888,0.303264611208037,0.189451576578502,"11227/11226/57452/10610/27090/2589/6482/50614/728819/79623/2590/55568/2591/29071/442117",15
"hsa00330","hsa00330","Arginine and proline metabolism","20/2774","50/8577",0.156362299865913,0.30636101776054,0.191385923948486,"8974/6303/79814/283208/4942/112849/5033/55748/29920/4846/217/501/4953/8659/384/2593/5625/2628/4842/137362",20
"hsa04723","hsa04723","Retrograde endocannabinoid signaling","54/2774","148/8577",0.158959227442151,0.30964889969945,0.193439887364954,"94235/114/11343/2792/5743/112/54331/55970/196883/2770/6300/2564/2791/5600/108/2771/115/3709/775/5332/5578/2790/5331/4539/4731/4541/4538/23236/221955/113/2787/10681/5594/222236/4717/4697/4707/54539/773/4698/4696/2785/5602/59345/2793/57406/5582/57030/2560/5579/140679/2569/2563/2557",54
"hsa04722","hsa04722","Neurotrophin signaling pathway","44/2774","119/8577",0.161180100732149,0.312170654866289,0.195015245894918,"4803/3656/627/5580/817/5293/4790/3725/25759/4217/8767/6300/5908/5600/399694/9261/6464/4215/5598/207/5604/3654/6196/4794/998/805/6197/5970/6655/5663/4792/572/5594/10019/91860/10603/801/5602/10000/7161/53358/5607/4914/4804",44
"hsa04110","hsa04110","Cell cycle","57/2774","157/8577",0.162115056752357,0.312187280717396,0.195025632183287,"7042/1026/4088/4616/2810/1021/5526/7534/8555/1022/1647/5516/7533/5525/5934/25847/993/4174/4193/51434/10735/995/8243/699/983/8318/4173/57082/891/4172/9133/4176/9232/7272/1027/9212/595/1031/10403/4171/8317/1869/157570/85417/9700/4085/4999/90381/11200/4998/5111/151648/5347/6502/890/701/1870",57
"hsa00562","hsa00562","Inositol phosphate metabolism","28/2774","73/8577",0.163939596742976,0.312682867368013,0.195335228716547,"3628/5293/5333/8871/3636/5305/113026/5332/138429/3612/23396/5286/55300/10423/5331/9108/80271/23236/4534/9562/51477/3635/9110/3706/5287/5294/23007/27124",28
"hsa00670","hsa00670","One carbon pool by folate","9/2774","20/8577",0.164882182029705,0.312682867368013,0.195335228716547,"160428/10588/100528021/25902/7298/1719/6470/200895/10840",9
"hsa04971","hsa04971","Gastric acid secretion","29/2774","76/8577",0.166853664996617,0.312682867368013,0.195335228716547,"114/3274/477/4638/817/112/196883/2770/481/108/2771/115/3709/71/60/5332/5578/805/6522/5331/483/23236/113/91860/801/482/5582/478/5579",29
"hsa00380","hsa00380","Tryptophan metabolism","17/2774","42/8577",0.167011620552648,0.312682867368013,0.195335228716547,"6999/8942/1543/1545/316/51166/23498/2639/217/501/39/55526/3033/3620/883/8564/121278",17
"hsa00513","hsa00513","Various types of N-glycan biosynthesis","17/2774","42/8577",0.167011620552648,0.312682867368013,0.195335228716547,"4121/2683/57134/3074/64377/11253/4247/11282/3073/2530/85365/3703/6184/84061/6185/199857/25834",17
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","38/2774","102/8577",0.168119469514136,0.313018017824662,0.195544599609347,"114/64506/6793/5293/112/196883/2770/6300/80315/442590/5600/108/2771/115/207/5604/6196/6197/3480/113/5594/25847/3835/993/51434/995/699/983/891/9133/5602/85417/10000/4085/5347/5140/890/3479",38
"hsa04931","hsa04931","Insulin resistance","40/2774","108/8577",0.171701549672172,0.317930891425945,0.198613706966075,"10891/90993/183/3569/9021/5580/5465/1374/7124/9945/5836/5293/4790/376497/64764/5507/5581/2308/79660/7132/5834/10488/6774/207/6196/6197/5970/6513/4846/51422/4792/5501/10998/5602/10000/8660/32/133522/51085/5579",40
"hsa05321","hsa05321","Inflammatory bowel disease","25/2774","65/8577",0.176723867041252,0.325373384326474,0.203263085632656,"7099/3606/3592/7042/3553/3569/3566/4088/3552/7124/50615/7097/4790/3725/3459/4772/6095/6774/5970/3460/3595/2625/3113/3115/3109",25
"hsa00515","hsa00515","Mannose type O-glycan biosynthesis","10/2774","23/8577",0.177651936842941,0.325373384326474,0.203263085632656,"729920/146664/2683/10585/79147/55624/11041/84197/27087/10690",10
"hsa04664","hsa04664","Fc epsilon RI signaling pathway","26/2774","68/8577",0.179981797984237,0.327858734706421,0.204815701831279,"1437/241/5880/10451/8605/7124/5293/2534/5606/6300/5600/4067/27040/9846/207/5604/5578/6655/7410/5594/3635/5602/10000/5321/5608/7409",26
"hsa00250","hsa00250","Alanine, aspartate and glutamate metabolism","15/2774","37/8577",0.184991854664262,0.334041025443646,0.208677823172667,"445/9945/122622/2571/8528/435/2744/159/2752/8659/790/7915/80150/18/137362",15
"hsa05162","hsa05162","Measles","50/2774","138/8577",0.185358076433121,0.334041025443646,0.208677823172667,"7099/3310/3592/4939/3553/4600/3569/7128/6776/4599/3552/7097/5293/4790/3303/3725/10379/3304/3305/23586/1021/64135/6777/9451/8717/9641/868/3665/6774/6773/598/207/836/3654/8517/5970/4938/578/4792/572/355/1147/5602/1027/595/25898/10000/7161/2353/6504",50
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","127/2774","367/8577",0.186374185699848,0.334085641387493,0.208705695072618,"154/151/7200/2894/1134/6869/185/1143/10316/9002/4295/1906/4161/4160/130576/2925/1910/3363/5731/3274/1907/130574/3814/2150/5618/623/183/51083/5031/3352/134/5732/2900/133/66004/90226/8862/5021/5179/3269/1901/8811/5027/1081/1132/9127/136/5737/5617/2151/624/5745/5739/2914/5026/2149/3972/2690/2743/1128/10203/2564/2696/6915/718/2908/5025/1903/4923/3953/706/165829/56288/1909/10424/7425/79924/1145/116444/7067/797/152/727/27346/5367/80763/3355/554/4852/5023/2922/1139/148/5733/2846/5028/886/2901/2898/153/84109/2897/1137/1141/283869/53637/2899/4922/10911/10800/2560/4889/2912/4886/719/155/6866/2903/5173/4543/1129/100506013/885/2569/2563/2557/2695",127
"hsa05164","hsa05164","Influenza A","61/2774","171/8577",0.194828444997566,0.347392518328992,0.217018596488516,"6352/7099/8743/3576/3383/3606/3592/4939/3553/6347/4600/3569/9021/4599/3552/7124/79671/5293/4790/10379/148022/5611/3459/5371/8797/23586/1021/7132/64135/8717/71/9641/60/3665/6773/207/5604/836/5578/8517/6041/5970/4938/3460/3337/578/4792/5594/355/1147/3838/55916/3841/10000/3113/3115/3109/5579/7177/23430/64499",61
